country name,countryid,coef not urban,SE not urban,coef urban,se urban,diff,se diff,p-value,year,Urban significantly better,Urban significantly worse,No signficant difference
AZE,31,366.2309587,4.315961786,383.1254508,4.139281042,16.89449211,5.900835828,0.00419561,2009,TRUE,FALSE,FALSE
ARG,32,383.1808586,6.87427136,425.0275805,8.261622153,41.84672198,11.57357109,0.000299521,2009,TRUE,FALSE,FALSE
AUS,36,506.358234,3.602678042,538.5391939,3.761793656,32.18095997,5.606158129,9.45159E-09,2009,TRUE,FALSE,FALSE
AUT,40,493.4936448,4.390074867,492.9662163,7.670843858,-0.527428564,9.326466007,0.95490222,2009,FALSE,FALSE,TRUE
BEL,56,513.1883984,3.420433225,484.7958426,10.69182238,-28.39255582,12.7380514,0.025816834,2009,FALSE,TRUE,FALSE
BRA,76,395.571763,3.806967647,416.576247,3.81199916,21.00448402,5.746880518,0.000257246,2009,TRUE,FALSE,FALSE
BGR,100,416.0122961,7.330936613,476.699246,8.502112388,60.68694991,11.31691568,8.20784E-08,2009,TRUE,FALSE,FALSE
CAN,124,526.3239879,2.130637447,531.1490471,2.91298526,4.825059228,3.834036058,0.208218072,2009,FALSE,FALSE,TRUE
CHL,152,434.654876,5.44818032,455.4181255,4.559318563,20.76324951,8.197000997,0.011308127,2009,TRUE,FALSE,FALSE
QCN,156,0,,574.6173491,2.302368624,0,,,2009,N/A,N/A,N/A
TAP,158,505.8700367,4.512170785,529.7340289,3.846057369,23.86399221,6.470729402,0.000226032,2009,TRUE,FALSE,FALSE
COL,170,386.8831204,4.992771461,418.2121735,4.874954363,31.32905311,6.778579732,3.80475E-06,2009,TRUE,FALSE,FALSE
CRI,188,428.3494278,3.26222052,440.3826931,8.003212857,12.03326527,9.250452409,0.193316678,2009,FALSE,FALSE,TRUE
HRV,191,478.5376035,3.241445212,500.0116816,6.052784075,21.47407806,7.146725134,0.002658046,2009,TRUE,FALSE,FALSE
CZE,203,495.1049921,3.218156453,523.1457807,11.21483056,28.04078869,12.06257838,0.020092831,2009,TRUE,FALSE,FALSE
DNK,208,501.028695,2.789841174,490.9722576,6.080424233,-10.05643742,6.651957899,0.130584464,2009,FALSE,FALSE,TRUE
DOM,214,,,,,,,,2009,N/A,N/A,N/A
EST,233,523.3407888,3.074417149,540.4202317,5.265864253,17.07944291,6.137054124,0.005385823,2009,TRUE,FALSE,FALSE
FIN,246,552.1638335,2.414284476,559.5855462,5.686979278,7.421712689,6.208921402,0.231957955,2009,FALSE,FALSE,TRUE
FRA,250,,,,,,,,2009,N/A,N/A,N/A
GEO,268,365.0256985,3.684294812,387.6638018,6.642729373,22.63810332,8.177072099,0.005631754,2009,TRUE,FALSE,FALSE
DEU,276,526.1115828,3.883780783,505.2540058,10.76052629,-20.85757705,12.56980531,0.097047358,2009,FALSE,FALSE,TRUE
